Wings: 4       Order: 4                              Total Price: $4.55      
Wings: 5       Order: 5                              Total Price: $5.70      
Wings: 6       Order: 6                              Total Price: $6.80      
Wings: 7       Order: 7                              Total Price: $7.95      
Wings: 8       Order: 8                              Total Price: $9.10      
Wings: 9       Order: 9                              Total Price: $10.20     
Wings: 10      Order: 10                             Total Price: $11.35     
Wings: 11      Order: 11                             Total Price: $12.50     
Wings: 12      Order: 12                             Total Price: $13.60     
Wings: 13      Order: 13                             Total Price: $14.75     
Wings: 14      Order: 4, 10                          Total Price: $15.90      Savings: $0.00      
Wings: 15      Order: 15                             Total Price: $17.00     
Wings: 16      Order: 16                             Total Price: $18.15     
Wings: 17      Order: 8, 9                           Total Price: $19.30      Savings: $0.00      
Wings: 18      Order: 18                             Total Price: $20.40     
Wings: 19      Order: 9, 10                          Total Price: $21.55      Savings: $0.00      
Wings: 20      Order: 20                             Total Price: $22.70     
Wings: 21      Order: 9, 12                          Total Price: $23.80      Savings: $0.00      
Wings: 22      Order: 22                             Total Price: $24.95     
Wings: 23      Order: 5, 18                          Total Price: $26.10      Savings: $0.00      
Wings: 24      Order: 6, 18                          Total Price: $27.20      Savings: $0.05      
Wings: 25      Order: 25                             Total Price: $27.80     
Wings: 26      Order: 26                             Total Price: $28.95     
Wings: 27      Order: 27                             Total Price: $30.10     
Wings: 28      Order: 28                             Total Price: $31.20     
Wings: 29      Order: 29                             Total Price: $32.35     
Wings: 30      Order: 30                             Total Price: $33.50     
Wings: 31      Order: 6, 25                          Total Price: $34.60     
Wings: 32      Order: 4, 28                          Total Price: $35.75     
Wings: 33      Order: 4, 29                          Total Price: $36.90     
Wings: 34      Order: 6, 28                          Total Price: $38.00     
Wings: 35      Order: 35                             Total Price: $39.15     
Wings: 36      Order: 4, 4, 28                       Total Price: $40.30     
Wings: 37      Order: 6, 6, 25                       Total Price: $41.40     
Wings: 38      Order: 4, 6, 28                       Total Price: $42.55     
Wings: 39      Order: 4, 35                          Total Price: $43.70     
Wings: 40      Order: 40                             Total Price: $44.80     
Wings: 41      Order: 6, 35                          Total Price: $45.95     
Wings: 42      Order: 4, 4, 6, 28                    Total Price: $47.10     
Wings: 43      Order: 6, 6, 6, 25                    Total Price: $48.20     
Wings: 44      Order: 4, 40                          Total Price: $49.35     
Wings: 45      Order: 4, 6, 35                       Total Price: $50.50      Savings: $0.00      
Wings: 46      Order: 6, 40                          Total Price: $51.60     
Wings: 47      Order: 6, 6, 35                       Total Price: $52.75     
Wings: 48      Order: 4, 4, 40                       Total Price: $53.90     
Wings: 49      Order: 6, 6, 6, 6, 25                 Total Price: $55.00     
Wings: 50      Order: 25, 25                         Total Price: $55.60     
Wings: 51      Order: 25, 26                         Total Price: $56.75     
Wings: 52      Order: 26, 26                         Total Price: $57.90     
Wings: 53      Order: 25, 28                         Total Price: $59.00     
